,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,maximum_time_without_eat,Wolves,Sheep
146,73,7,0,20,20,0.04,0.05,20,True,30,4,150,150,100,150,150
147,73,7,10,20,20,0.04,0.05,20,True,30,4,150,150,100,184,2
148,74,8,0,20,20,0.04,0.05,20,True,30,4,50,150,100,150,50
149,74,8,10,20,20,0.04,0.05,20,True,30,4,50,150,100,166,1
150,75,8,0,20,20,0.04,0.05,20,True,30,4,100,50,100,50,100
151,75,8,10,20,20,0.04,0.05,20,True,30,4,100,50,100,65,28
152,76,8,0,20,20,0.04,0.05,20,True,30,4,100,100,100,100,100
153,76,8,10,20,20,0.04,0.05,20,True,30,4,100,100,100,130,6
154,77,8,0,20,20,0.04,0.05,20,True,30,4,100,150,100,150,100
155,77,8,10,20,20,0.04,0.05,20,True,30,4,100,150,100,204,0
156,78,8,0,20,20,0.04,0.05,20,True,30,4,150,50,100,50,150
157,78,8,10,20,20,0.04,0.05,20,True,30,4,150,50,100,71,35
158,79,8,0,20,20,0.04,0.05,20,True,30,4,150,100,100,100,150
159,79,8,10,20,20,0.04,0.05,20,True,30,4,150,100,100,134,11
160,80,9,0,20,20,0.04,0.05,20,True,30,4,50,50,100,50,50
161,80,9,10,20,20,0.04,0.05,20,True,30,4,50,50,100,61,16
162,81,8,0,20,20,0.04,0.05,20,True,30,4,150,150,100,150,150
163,81,8,10,20,20,0.04,0.05,20,True,30,4,150,150,100,181,9
164,82,9,0,20,20,0.04,0.05,20,True,30,4,50,100,100,100,50
165,82,9,10,20,20,0.04,0.05,20,True,30,4,50,100,100,119,4
166,83,9,0,20,20,0.04,0.05,20,True,30,4,100,50,100,50,100
167,83,9,10,20,20,0.04,0.05,20,True,30,4,100,50,100,82,14
168,84,9,0,20,20,0.04,0.05,20,True,30,4,50,150,100,150,50
169,84,9,10,20,20,0.04,0.05,20,True,30,4,50,150,100,175,7
170,85,9,0,20,20,0.04,0.05,20,True,30,4,100,100,100,100,100
171,85,9,10,20,20,0.04,0.05,20,True,30,4,100,100,100,128,9
172,86,9,0,20,20,0.04,0.05,20,True,30,4,100,150,100,150,100
173,86,9,10,20,20,0.04,0.05,20,True,30,4,100,150,100,186,1
174,87,9,0,20,20,0.04,0.05,20,True,30,4,150,50,100,50,150
175,87,9,10,20,20,0.04,0.05,20,True,30,4,150,50,100,73,26
176,88,9,0,20,20,0.04,0.05,20,True,30,4,150,100,100,100,150
177,88,9,10,20,20,0.04,0.05,20,True,30,4,150,100,100,141,11
178,89,9,0,20,20,0.04,0.05,20,True,30,4,150,150,100,150,150
179,89,9,10,20,20,0.04,0.05,20,True,30,4,150,150,100,191,3
